session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_04_07_00_01,53,1139.32,1155.942,neutral,2,6.6838791464417e-07,0.0005871780929641294,1.4813764165983016e-05,0.0007190076647255276,0.9969240544208595,8.328306150924528e-05,0.0016709946078609646
00_00_00_04_07_00_01,55,1204.889,1232.695,neutral,3,0.09267588491662754,0.06457273279436003,0.03199578751047191,0.0009728511677477785,0.7555810410666247,0.051574460996307296,0.002627241547860646
00_00_00_04_07_00_01,57,1259.12,1268.12,neutral,1,0.19690136361608182,0.03713767928443767,0.36555739773370366,0.001854712003590119,0.3666695905887772,0.003597100918171462,0.02828215585523809
00_00_00_04_07_00_01,59,1304.12,1310.12,neutral,3,0.06554735701728001,0.00452676969528584,0.003113537259589036,0.0032613895251310766,0.9132437448500768,0.0050365954322383905,0.005270606220398812
00_00_00_04_07_00_02,1,27.31,34.467,neutral,3,3.951823391045052e-05,0.0020953725677953197,2.7541366911502445e-05,8.521031168814295e-05,0.9963813478085785,0.000528788886018668,0.0008422208250974801
00_00_00_04_07_00_02,3,583.44,584.732,neutral,3,2.1247340386790716e-06,0.00028780187204091893,1.0235187197511794e-05,4.068215881956657e-05,0.9897691652321632,3.504897939675921e-05,0.00985494183634337
00_00_00_04_07_00_02,6,1087.76,1093.741,neutral,3,9.850162655474343e-08,0.0003111623242261562,6.439658943348978e-07,0.0002802531139310487,0.9946338867131346,0.0002454198192674761,0.004528535561919867
00_00_00_04_07_00_02,8,721.918,730.939,sad,3,0.0007596942555165558,0.010152057926285298,2.0576236162714853e-05,4.8344371881534454e-05,0.9638306917107622,0.0006399331763331849,0.02454870232305856
00_00_00_04_07_00_02,10,988.322,991.689,neutral,3,1.057515833963713e-06,0.0008916283207008223,4.943334112321652e-06,4.228498049973461e-05,0.9946994939759116,0.00031891570953347697,0.004041676163408137
00_00_00_04_07_00_02,12,818.476,821.071,sad,3,2.664132289315702e-07,8.829365689341532e-05,1.9227081246322675e-07,9.784488995492808e-05,0.9995323873950351,2.897015454559207e-05,0.0002520452195294236
00_00_00_04_07_00_02,14,846.974,859.635,sad,3,5.766375956338438e-05,0.001916404438690739,9.39068977625219e-06,0.0006149445267848284,0.949761040508322,0.0002619272681165478,0.047378628808746305
00_00_00_04_07_00_02,16,961.169,973.322,neutral,3,3.399613956179545e-06,0.0009940711992811148,7.0585302471702345e-06,0.00014841948659569338,0.9897394973035658,0.00016728342594706536,0.008940270440406899
00_00_00_04_07_00_02,18,953.593,962.192,neutral,3,5.950663372156485e-06,0.0002638349542547308,3.5185069123491486e-05,0.0008819987115172663,0.9974533109959811,5.077579765981729e-05,0.0013089438080913938
